No,Expected Value,MLP 13:13-20-12-1:1 prognosis,MLP 13:13-20-12-1:1 error,MLP 12:12-20-14-1:1 prognosis,MLP 12:12-20-14-1:1 Error,,,,,
1,"0,000000","-0,006501","0,006501","0,023957","0,023957",,,,,
2,"0,000000","0,007466","0,007466","-0,005603","0,005603",,,,,
3,"0,000000","0,000447","0,000447","0,023219","0,023219",,,,,
4,"0,181818","0,178565","0,003253","0,231627","0,049809",,,,,
5,"0,000000","-0,012607","0,012607","-0,031640","0,031640",,,,,
6,"0,272727","0,267516","0,005211","0,274245","0,001518",,,,,
7,"0,600000","0,602406","0,002406","0,589727","0,010273",,,,,
8,"0,000000","-0,012214","0,012214","0,004326","0,004326",,,,,
9,"0,000000","0,004209","0,004209","-0,007642","0,007642",,,,,
10,"0,461538","0,455638","0,005900","0,429161","0,032377",,,,,
11,"0,125000","0,130785","0,005785","0,061191","0,063809",,,,,
12,"0,000000","0,006553","0,006553","-0,014312","0,014312",,,,,
13,"0,333333","0,338616","0,005283","0,331784","0,001549",,,,,
14,"0,333333","0,331775","0,001558","0,283209","0,050124",,,,,
15,"0,000000","0,013126","0,013126","-0,000022","0,000022",,,,,
16,"0,666667","0,669622","0,002955","0,634604","0,032063",,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
