Nazwa,p,,,,,,,,,
numer_porzadkowy,1,,,,,,,,,
na_co_pierwsze_chorowal,1,,,,,,,,,
pokwitanie2,1,,,,,,,,,
w_czas_choroby_do_it_nos,1,,,,,,,,,
w_czas_choroby_do_it_astma,1,,,,,,,,,
w_eozynofilia,1,,,,,,,,,
grupa_lub_kontrola,1,,,,,,,,,
w_eozynofilia_bezw,1,,,,,,,,,
w_ecp,1,,,,,,,,,
w_eozynofile,1,,,,,,,,,
w_eozynofile_zdegranulowane,1,,,,,,,,,
grupa_pacjentow,1,,,,,,,,,
w_fev,1,,,,,,,,,
w_swiszczacy_oddech,1,,,,,,,,,
w_kaszel,1,,,,,,,,,
w_dusznosc,1,,,,,,,,,
podzial_na_4_grupy,1,,,,,,,,,
w_swiad_spojowek,1,,,,,,,,,
w_lzawienie_oczu,1,,,,,,,,,
w_wyciek_z_nosa,1,,,,,,,,,
w_zatkanie_nosa,1,,,,,,,,,
w_napady_kichania,1,,,,,,,,,
w_wysypki_skorne,1,,,,,,,,,
w_czestosc_infekcji_w_roku,1,,,,,,,,,
w_hospitalizacja__w_tyg,1,,,,,,,,,
w_ig_e_swoiste_trawy,1,,,,,,,,,
wiek_w_latach,1,,,,,,,,,
w_ig_e_swoiste_trawy_klasa,1,,,,,,,,,
w_max_stezenie_szczepionki,1,,,,,,,,,
w_dawka_szczepionki,1,,,,,,,,,
w_czas_trwania_objawow,1,,,,,,,,,
w_czas_trwania_max_objawow,1,,,,,,,,,
testy_trawy_i,1,,,,,,,,,
testy_trawy_ii,1,,,,,,,,,
rozpoznanie,1,,,,,,,,,
natezenie_astmy_rozpoznanie,1,,,,,,,,,
w_obciazajacy_wywiad_rodzinny,2,,,,,,,,,
obciazenie_rodzinne,2,,,,,,,,,
w_procent_zmiennosci_po_beta,2,,,,,,,,,
w_poprawa_kodowana,2,,,,,,,,,
w_suma_objawow,2,,,,,,,,,
w_suma_lekow,2,,,,,,,,,
miesiac_urodzenia,3,,,,,,,,,
plec,4,,,,,,,,,
w_antyhistaminiki,5,,,,,,,,,
w_metyloksantyny,5,,,,,,,,,
w_sterydy_ogolnie,5,,,,,,,,,
w_sterydy_wziewnie,5,,,,,,,,,
w_sterydy_donosowo,5,,,,,,,,,
w_kromoglikany_wziewnie,5,,,,,,,,,
w_kromoglikany_donosowo,5,,,,,,,,,
w_kromoglikany_dospojowkowo,5,,,,,,,,,
w_beta-mimetyki,5,,,,,,,,,
w_betadrin_miejscowo,5,,,,,,,,,
testy_drzewa,9,,,,,,,,,
testy_chwasty,9,,,,,,,,,
testy_plesnie,9,,,,,,,,,
testy_kurz,9,,,,,,,,,
testy_dermpt,9,,,,,,,,,
testy_dermfa,9,,,,,,,,,
ide_c,10,,,,,,,,,
ige_swtr,10,,,,,,,,,
ige_swtr_klasa,10,,,,,,,,,
w_czas_choroby_do_it_skora,10,,,,,,,,,
ige_calk_ponad_norme,10,,,,,,,,,
ige_swtr_kl_wieksze_rowne_2,10,,,,,,,,,
odczulani_przez_4_lub_5_lat,10,,,,,,,,,
igec_lub_igesw,10,,,,,,,,,
igesw_lub_igec,10,,,,,,,,,
procent_poprawa,10,,,,,,,,,
kryt_igec_800,10,,,,,,,,,
kryt_igesw_3,10,,,,,,,,,
kryt_eobzw_700,10,,,,,,,,,
w_dlugosc_choroby_przed_it,10,,,,,,,,,
w_phadiatop,10,,,,,,,,,
w_leukocytoza,10,,,,,,,,,
w_liczba_pol_naplywowych,10,,,,,,,,,
w_liczba_pol_nablonkowych,10,,,,,,,,,
w_neutrofile,10,,,,,,,,,
w_limfocyty,10,,,,,,,,,
w_komorki_kubkowe,10,,,,,,,,,
w_komorki_przypodstawne,10,,,,,,,,,
w_sposob_zluszczania,10,,,,,,,,,
w_fef_5-75,10,,,,,,,,,
w_pefr,10,,,,,,,,,
w_roznica_miedzy_objawami,10,,,,,,,,,
w_ig_e_calkowite,10,,,,,,,,,
w_reakcje_poszczepienne,10,,,,,,,,,
w_hospitalizacja_tyg,10,,,,,,,,,
Pokwitanie,10,,,,,,,,,
w_procent_zmiennoci_po_beta,10,,,,,,,,,
kontrola_dodatnia,10,,,,,,,,,
Procent_rozn_sumy_lekow,11,,,,,,,,,
Poprawa,11,,,,,,,,,
Roznica_sumy_objawow,11,,,,,,,,,
Procent_rozn_sumy_objawow,11,,,,,,,,,
rozn_sumy_lekow,11,,,,,,,,,
