Type,Quality u,Quality w,Quality t,Error u,Error w,Error t,Training,,,
MLP 38:40-40-26-1:1,"0,836195","0,465419","1,627109","0,250976","0,086959","0,394338","BP100,CG20,CG0b",,,
MLP 12:12-6-7-1:1,"0,388333","0,466980","2,281773","0,105675","0,086839","0,536553","BP100,CG20,CG4b",,,
MLP 35:37-40-6-1:1,"0,709306","0,363941","1,118662","0,239400","0,086805","0,308959","BP100,CG20,CG1b",,,
MLP 34:36-40-20-1:1,"0,971769","0,460347","2,121890","0,290635","0,085301","0,573053","BP100,CG20,CG0b",,,
MLP 39:41-40-28-1:1,"0,117491","0,422299","1,393216","0,032230","0,084823","0,340834","BP100,CG20,CG7b",,,
MLP 37:39-19-1:1,"0,601358","0,458186","1,809214","0,164106","0,084525","0,469893","BP100,CG20,CG0b",,,
MLP 17:19-9-1:1,"0,635945","0,244268","1,493312","0,214677","0,084072","0,414894","BP100,CG20,CG1b",,,
MLP 18:18-34-19-1:1,"0,192059","0,425279","2,114409","0,052361","0,083869","0,471900","BP100,CG20,CG5b",,,
MLP 29:31-26-1:1,"0,085060","0,405942","1,803581","0,023062","0,082126","0,404179","BP100,CG20,CG12b",,,
MLP 34:36-17-1:1,"0,473714","0,335118","1,725211","0,128147","0,082008","0,394739","BP100,CG20,CG0b",,,
MLP 29:29-40-18-1:1,"0,078984","0,448008","2,350837","0,022681","0,081633","0,605806","BP100,CG20,CG18b",,,
MLP 16:16-9-11-1:1,"0,354839","0,432317","2,009292","0,109127","0,081372","0,444116","BP100,CG20,CG0b",,,
MLP 14:14-17-1:1,"0,459533","0,453861","1,391488","0,124181","0,081017","0,336539","BP100,CG20,CG4b",,,
MLP 34:36-25-1:1,"0,036789","0,405598","1,684664","0,010378","0,080602","0,382766","BP100,CG20,CG28b",,,
MLP 39:41-27-1:1,"0,065593","0,292724","1,518838","0,017757","0,080538","0,339172","BP100,CG20,CG29b",,,
MLP 33:35-40-16-1:1,"0,328557","0,417086","1,080160","0,089776","0,080095","0,284576","BP100,CG20,CG4b",,,
MLP 23:25-19-1:1,"0,464134","0,406869","1,995531","0,125523","0,079509","0,460588","BP100,CG20,CG1b",,,
MLP 14:14-5-1:1,"0,894167","0,198910","1,607734","0,301950","0,079314","0,481368","BP100,CG20,CG0b",,,
MLP 32:34-40-8-1:1,"0,601268","0,339794","1,116162","0,216758","0,079232","0,362675","BP100,CG20,CG1b",,,
MLP 39:41-40-16-1:1,"0,629805","0,374169","0,690159","0,171326","0,079172","0,184777","BP100,CG20,CG10b",,,
MLP 13:15-37-12-1:1,"0,447983","0,334896","2,023599","0,151498","0,077608","0,609311","BP100,CG20,CG20b",,,
MLP 24:24-8-1:1,"0,469401","0,299433","1,498087","0,161663","0,076724","0,452462","BP100,CG20,CG1b",,,
MLP 34:36-15-1:1,"0,059134","0,406987","1,237139","0,016843","0,076307","0,283994","BP100,CG20,CG10b",,,
MLP 40:42-40-23-1:1,"0,815075","0,414543","1,185614","0,223124","0,076161","0,296184","BP100,CG20,CG0b",,,
MLP 35:37-23-1:1,"0,529082","0,346977","2,481005","0,144451","0,075021","0,622625","BP100,CG20,CG0b",,,
MLP 30:32-40-10-1:1,"0,951601","0,307600","1,099561","0,321158","0,073996","0,307148","BP100,CG20,CG0b",,,
MLP 37:39-40-18-1:1,"0,134649","0,411785","1,659781","0,043799","0,073666","0,385314","BP100,CG20,CG2b",,,
MLP 16:18-9-1:1,"0,837666","0,314034","1,224892","0,282964","0,072827","0,347743","BP100,CG20,CG0b",,,
MLP 34:34-40-15-1:1,"0,680716","0,393129","1,546247","0,191123","0,071456","0,345588","BP100,CG20,CG0b",,,
MLP 40:42-31-1:1,"0,153255","0,393670","1,612541","0,042144","0,071454","0,365720","BP100,CG20,CG3b",,,
MLP 34:36-24-1:1,"0,553121","0,346357","1,808529","0,163637","0,069924","0,399824","BP100,CG20,CG0b",,,
MLP 37:39-22-1:1,"0,115546","0,384483","1,957599","0,031316","0,069131","0,437232","BP100,CG20,CG6b",,,
MLP 35:37-23-1:1,"0,097334","0,383827","1,539772","0,026497","0,068702","0,344871","BP100,CG20,CG16b",,,
MLP 6:6-6-11-1:1,"0,743648","0,377724","1,296814","0,235087","0,068229","0,286671","BP100,CG20,CG0b",,,
MLP 35:37-40-15-1:1,"0,033573","0,296309","1,502666","0,009432","0,067752","0,340602","BP100,CG20,CG12b",,,
MLP 26:26-38-19-1:1,"0,345694","0,325209","1,582741","0,094624","0,066279","0,356308","BP100,CG20,CG3b",,,
MLP 36:38-25-1:1,"0,443914","0,290156","1,258487","0,150887","0,065256","0,353508","BP100,CG7c,CG1b",,,
MLP 25:27-9-1:1,"0,457702","0,284045","2,034409","0,155510","0,064125","0,608277","BP100,CG20,CG1b",,,
MLP 39:41-40-25-1:1,"0,870786","0,305177","0,995518","0,239157","0,063939","0,249343","BP100,CG20,CG0b",,,
MLP 22:24-20-1:1,"0,714044","0,176330","1,806060","0,193043","0,063709","0,428589","BP100,CG20,CG0b",,,
MLP 33:35-26-1:1,"0,197774","0,336516","1,387059","0,053400","0,062835","0,308088","BP100,CG20,CG13b",,,
MLP 18:20-38-19-1:1,"0,501786","0,261710","1,833628","0,171049","0,059422","0,558767","BP100,CG20,CG3b",,,
MLP 36:38-40-23-1:1,"0,271958","0,308329","2,095973","0,080677","0,058506","0,486857","BP100,CG20,CG2b",,,
MLP 33:35-31-1:1,"0,007210","0,282025","1,238878","0,001948","0,050318","0,275998","BP100,CG20,CG21b",,,
MLP 40:42-34-1:1,"0,157288","0,257830","1,341501","0,042499","0,049886","0,307522","BP100,CG20c,CG0b",,,
MLP 36:38-40-16-1:1,"0,178566","0,248018","1,494768","0,049189","0,045384","0,330321","BP100,CG20,CG2b",,,
MLP 36:38-28-1:1,"0,079430","0,243449","1,683883","0,022425","0,044304","0,400428","BP100,CG20,CG19b",,,
MLP 37:39-40-19-1:1,"0,063921","0,216093","1,799112","0,017571","0,039021","0,411345","BP100,CG20,CG10b",,,
MLP 34:36-20-1:1,"0,274450","0,171115","1,467962","0,093004","0,038866","0,406097","BP100,CG4c,CG17b",,,
MLP 32:34-40-23-1:1,"0,225192","0,181894","1,757623","0,065976","0,032451","0,394853","BP100,CG20,CG2b",,,
