No,Expected Value,MLP 13:13-20-12-1:1 prognosis,MLP 13:13-20-12-1:1 error,MLP 12:12-20-14-1:1 prognosis,MLP 12:12-20-14-1:1 error,,,,,
1,"0,166667","0,251501","0,084834","0,314250","0,147583",,,,,
2,"0,363636","0,327791","0,035845","0,435394","0,071758",,,,,
3,"0,333333","0,354619","0,021286","0,297487","0,035846",,,,,
4,"0,000000","0,075336","0,075336","0,012003","0,012003",,,,,
5,"0,000000","0,073820","0,073820","0,121240","0,121240",,,,,
6,"0,000000","0,028417","0,028417","0,036233","0,036233",,,,,
7,"0,285714","0,422500","0,136786","0,306602","0,020888",,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
